id,english,arabic,french,german,uri,description,image_uri_remote,vt,uatv
62066,request for discussion (RFD),طَلَبُ مُنَاقَشَة,demande de discussion,RFD-Dokument,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62066,وثيقة تسبق خلق مجموعة المناقشة، التي تحدد مقاصد المجموعة وموضوع المناقشة المرغوبة,,False,True
62067,requirements,مُتَطَلَّبَات,exigences,Anforderungen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62067,مجموع الخاصيات التي يتطلبها إرساء وتشغيل نظام أو برمجية مثل سعة الذاكرة وحجم القرص وغير ذلك,,False,True
62068,research,بَحْث,recherche,Recherche,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62068,عملية تتمثل في مساءلة قاعدة معطيات أو خدمة على الخط أو الشبكة بهدف البحث عن معلومات حول محور ما. ولهذا تتوفر عادة برامج أو وظائف تسمى محركات البحث,,False,True
62069,reserved word,كَلِمَةٌ مُخَصَّصَة,mot réservé,reserviertes Wort,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62069,في لغات البرمجة، هي كلمة تستعمل للتعبير عن تعليمة أو تصريح. وبالتالي لا يمكن أن تستعمل للتعبير عن متغير,,False,True
62070,reset,إعَادَةُ تَبْدِئَة,réinitialiser,Rücksetzen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62070,إعادة نظام حاسوبي أو برنامج تطبيقي إلى حالته البدئية كإعادة تحميل برنامج أو إعادة تشغيل الحاسوب,,False,True
62071,resolution,دِقَّة,résolution,Auflösung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62071,خاصية تحدد مدى صفاء الصورة على الشاشة، وتقاس بعدد النقط الضوئية على الشاشة,,False,True
62072,resource,مَوْرِد,ressource,Ressource,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62072,مصطلح يعبر عن عنصر من مجموع العناصر التي تكون نظاما حاسوبيا بما في ذلك العتاد والبرمجيات التي تستغل أثناء تشغيل ذلك النظام,,False,True
62073,resource management,تَدْبِيرُ الْمَوَارِد,gestion des ressources,Ressourcenmanagement,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62073,عملية قوامها توزيع موارد الحاسوب بين مختلف البرمجيات التي تكون قيد التنفيذ وذلك بكيفية تتوخى السرعة وتتفادى النـزاع,,False,True
62074,resource sharing,تَقَاسُمُ الْمَوَارِد,partage des ressources,gemeinsame Ressourcennutzung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62074,حالة تكون فيها موارد الحاسوب مقتسمة بين برمجيات مختلفة أو مستعملين مختلفين,,False,True
62075,response,اسْتِجَابَة,réponse,Reaktion,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62075,إشارة يرسلها الحاسوب ردّا على أمر من المستعمل,,False,True
62076,response time,مُدَّة الاِسْتِجَابَة,temps de réponse,Reaktionszeit,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62076,مرادف لأجَل التنفيذ. وهي مهلة تفصل بين لحظة إعطاء الأمر إلى الحاسوب ولحظة الحصول على الجواب,,False,True
62077,restart,اسْتِئْنَاف,relance,Neustart,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62077,إعادة تشغيل نظام حاسوبي أو برمجية أو برنامج تطبيقي,,False,True
62078,restitution,اسْتِرْجَاع,restitution,Rückgabe,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62078,العملية التي تهدف إلى استرجاع نص ضائع أو ملف مبتور,,False,True
62079,restoration,تَرْمِيم,restauration,Wiederherstellung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62079,عملية تكمن في وضع معطيات مخزنة على شكل نسخة للسلامة على قرص مدمج في الحاسوب. ولترميم المعطيات، من المفروض استعمال البرنامج والدالة التي تم استعمالها في وضع نسخة السلامة,,False,True
62080,retrieval,اسْتِرْجَاع,récupération,Abruf,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62080,تجديد معطيات لَحِقَ بها تلف ما، وذلك بكيفية، تصبح معها قابلة للاستعمال من جديد. ويمكن تطبيق عملية الاسترجاع على ملف منعزل، أو على مجموع سناد التخزين,,False,True
62081,return,رُجُوعٌ,retou,Rücksprung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62081,تعليمة تأمر برنامجا بلغ نهاية تنفيذ وظيفة ما، بالرجوع إلى النقطة التي استدعاه منها البرنامجإِحَالَة (المرادف العربي),,False,True
62082,reverse address resolution protocol (RARP),بُرُوتُوكُول الْحَلِّ الْعَكْسِيّ للعَنَاوِين,protocole de résolution inverse d'adresses,Reverse Address Resolution-Protokoll (RARP),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62082,بروتوكول إنترنيت يسمح بتحويل عناوين الشبكة الفيزيائية ( عنوان إنترنيت مؤلف من 48 بتا مثلاً ) إلى عناوين آي بي,,False,True
62083,right and left justification,ضَبط إِلَى الْيَمِينِ وَ إلى الْيَسَار,justification à droite et à gauche,Blocksatz,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62083,رصف سطور النص بحيث تبدأ جميع السطور من الموقع نفسه على الهامش الأيمن وتنتهي في الموقع نفسه على الهامش الأيسر,,False,True
62084,right justification,ضَبط إِلَى الْيَمِينِ,justification à droite,rechtsbündig,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62084,رصف سطور النص بحيث تبدأ جميع السطور من الموقع نفسه على الهامش الأيمن,,False,True
62085,right shift,إِزَاحَةٌ إِلَى الْيَمِين,décalage à droite,Rechtsverschiebung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62085,الإزاحة إلى اليمين لبتات أثمون تكافئ القسمة على اثنين في النظام الثنائي,,False,True
62086,ring network,شَبَكَةٌ حَلْقِيَّةٌ,réseau en anneau,Ringnetzwerk,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62086,تشكيلة شبكة على شكل خط مغلق على نفسه حيث تنتشر المعلومات دائما في الاتجاه نفسه,,False,True
62087,robot,عَاتُول,robot,Roboter,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62087,جهاز آلي يقوم أساسا بحركات ميكانيكية للقيام بأشغال عوض الإنسان,,False,True
62088,roll,تَمْرِير,défilement,rollen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62088,في نافذة ما أو قائمة خيارات، إظهار الأجزاء المحجوبة صعودا أو نزولا,,False,True
62089,root,جَذْر,racine,Wurzel,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62089,يطلق على أعلى الرتب في المصنفة,,False,True
62090,round brackets,أَقْوَاس,parenthèses,runde Klammern,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62090,العلامتان ( ),,False,True
62091,router,مُفَرِّع,routeur,Router,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62091,جهاز ينظم حركة المرور بين الشبكات. ترتكز قرارات إرسال المعطيات التي يتخذها 'المفرع' على معلومات طبقة الشبكة وجداول التفريع، التي يتم إنشاؤها، غالباً، بواسطة بروتوكولات التفريع,,False,True
62092,run time,مُدَّة التَّنْفِيذ,temps d'exécution,Laufzeit,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62092,هي الفترة التي يكون في أثنائها البرنامج نشيطا؛ أي يقوم بتنفيذ التعليمات المُرسلة إليه,,False,True
62093,running,تَنْفِيذ,exécution,Ausführung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62093,آمرة تطلب من الحاسوب تنفيذ برنامج,,False,True
62094,safeguard,حِفْظ,sauvegarder,schützen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62094,مرادف لتسجيل أو تخزين العمل الجاري فوق القرص الصلب للحاسوب، وذلك ليحتفظ به حتى استعمال لاحق. وتطلق أيضا على تخزين احتياطي لسلسلة من الملفات فوق سناد مناسبتَأْمِين (المرادف العربي),,False,True
62095,salvager,بَرْنَامَجُ الْحِفْظ,programme de sauvegarde,Schutzprogramm,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62095,مرادف برنامج 'نسخ السلامة'. برنامج يقوم بعملية حِفظ سناد التخزين. ويسمح هذا النوع من البرامج بحفظ كلي أو جزئي للمعطيات,,False,True
62096,save,حِفْظ,sauvegarder,speichern,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62096,عملية تسجيل المعطيات في الذاكرة,,False,True
62097,scale,مِقْيَاس,échelle,Skala,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62097,تعديل تناسبي لحجم شيء ما كخريطة أو رسمسُلَّم (المرادف العربي),,False,True
62098,scaling,تَأْطِير,cadrage,Skalierung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62098,الموضع الصحيح للصورة بالنسبة لنافذة الكاميرا، وإعداد هذه الصورة وتنظيمها على الشكل المستطيل الذي يتصف به التأطير,,False,True
62099,scan,تَفَرُّس,scanner,scannen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62099,عملية نقل المعلومات في شكل صور أو نصوص من سناد عادة ما يكون ورقيا إلى الحاسوب حيث يمكن تخزينها في شكل صورمَسْح (المرادف العربي),,False,True
62100,scan code,شَفْرَةُ مَسْح,code de balayage,Scancode,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62100,شفرة رقمية داخلية يتم التعرف بواسطتها على كل مفتاح في لوحة المفاتيح بواسطة رقم السطر ورقم العمود في اللوحة,,False,True
62101,scanner,مِفْرَاس,scanner,Scanner,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62101,جهاز يمكن من نقل المعلومات في شكل صور أو نصوص من سناد عادة ما يكون ورقيا إلى الحاسوب حيث يمكن تخزينها في شكل صورمَاسِحَة (المرادف العربي),,False,True
62102,scanning speed,سُرْعَةُ الْمَسْح,vitesse de balayage,Scangeschwindigkeit,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62102,لفظ عام يعبر عن المدة الزمنية التي تتطلبها قراءة ملف أو قاعدة معطيات. كما تعبر عن سرعة المفراسسُرْعَةُ التَّفَرُّس (المرادف العربي),,False,True
62103,scheduled maintenance,صِيَانَة مُجَدْوَلَة,maintenance planifiée,geplante Wartung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62103,إجراءات صيانة وإصلاح تجرى طبقا لجدول زمني معين لتفادي وقوع العطل أو سوء الأداء,,False,True
62104,scheduler,مُجَدْول,gestionnaire de tâches,Scheduler,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62104,برنامج يدبر زمنياً تنفيذ برامج تطبيقية,,False,True
62105,scheduling,جَدْوَلَة,planification,Zeitablaufplanung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62105,عملية تدبير تنفيذ برامج تطبيقية في الزمان,,False,True
62106,scheme,رَشَم,schéma,Schema,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62106,مصطلح عام يعبر عن الخرائط الإلكترونية أو لمخطط العام لبرنامج ما,,False,True
62107,scratch,إِتْلاف,détruire,löschen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62107,عملية حذف المعطيات من قرص أو غيره بحيث لا يمكن بعد ذلك استرجاع تلك المعطيات,,False,True
62108,screen,شَاشَة,écran,Bildschirm,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62108,وحدة إخراج في شكل شاشة تلفاز أبيض وأسود أو بالألوان. وتختلف الشاشات حسب حجمها الذي يقاس بعدد بوصات القطر. وكذا بجودة الصورة التي تقاس بعدد النقط المضيئة,,False,True
62109,script file,مِلَفّ التَّعْلِيمَات,fichier de script,Skriptdatei,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62109,ملف يضم أوامر وتعليمات تنفذ مباشرة عند فتحه,,False,True
62110,scroll,تَمْرِير,défilement,blättern,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62110,نمط تمثيل نص أو غيره بحيث يمر سطرا سطرا من أعلى الشاشة إلى أسفلها أو العكس,,False,True
62111,scrolling bar,شَرِيطُ تَمْرِير,ascenseur,Bildlaufleiste,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62111,شريط ضيق يوجد يمين أو يسار النافذة بحيث يمكن من الاطلاع على مختلف أجزاء الوثيقة صعودا ونزولا، ويطلق أيضا على المربع الصغير الذي يمكن أن يتنقل عبر ذلك الشريط,,False,True
62112,search,بَحْث,rechercher,suchen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62112,مصطلح يعبر عن جميع العمليات التي تمكن من مَوقَعَة المعطيات سواء في شبكة أو قاعدة معطيات أو ملف أو غير ذلك. وظيفة توجد في أغلبية البرمجيات التطبيقية وكذا في أنظمة التشغيل تمكن من البحث عن كلمة في نص أو عنوان في قاعدة عناوين أو كتلة من المعطيات في الذاكرة,,False,True
62113,search and replace,بَحْثٌ وَتَعْوِيض,rechercher-remplacer,suchen und ersetzen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62113,وظيفة تتوفر في أغلبية البرمجيات التطبيقية وخصوصا في معالجات النصوص تمكن من البحث عن كلمة أو عبارة وتعويضها إن وُجدت بكلمة أو عبارة محددة,,False,True
62114,search engine,مُحَرِّكُ بَحْث,moteur de recherche,Suchmaschine,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62114,أداة أو برمجية تمكن من البحث عن معطيات في أماكن وجودها بواسطة لغة بحث,,False,True
62115,search key,مِفْتَاحُ بَحْث,clé de recherche,Suchbegriff,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62115,حقل مختار في لوحة عناصر أو قاعدة معطيات يمكن من ترتيب التسجيلات والبحث السريع عنها,,False,True
62116,search time,مُدَّةُ بَحْث,temps de recherche,Suchzeit,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62116,المدة الزمنية التي تستغرقها عملية البحث قبل الولوج إلى المعطيات,,False,True
62117,sector,قِطَاع,secteur,Sektor,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62117,أصغر وحدة فيزيائية في الذاكرة الداخلية أو الخارجية لا يمكن تقسيمها منطقيا,,False,True
62118,seek,بَحْث,rechercher,suchen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62118,مصطلح يعبر عن جميع العمليات التي تمكن من مَوقَعَة المعطيات سواء في شبكة أو قاعدة معطيات أو ملف أو غير ذلك. وظيفة توجد في أغلبية البرمجيات التطبيقية وكذا في أنظمة التشغيل تمكن من البحث عن كلمة في نص أو عنوان في قاعدة عناوين أو كتلة من المعطيات في الذاكرة,,False,True
62119,seek time,مُدَّةُ بَحْث,temps de recherche,Suchzeit,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62119,المدة الزمنية التي تستغرقها عملية البحث قبل الولوج إلى المعطيات,,False,True
62120,segment,شُدفَةٌ,segment,Segment,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62120,تسجيلة نظام قاعدة معطيات,,False,True
62121,segmentation,تَشْدِيف,segmentation,Segmentierung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62121,طريقة تدبير الذاكرة حيث يكون العنوان الفيزيائي مكونا من عنصرين: البداية والزيح. وحجم الشدفة على العموم غير محدود,,False,True
62122,selection,انْتِقَاء,sélection,Auswahl,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62122,في قاعدة للمعطيات الانتقاء هو عبارة عن فرز مبني على معايير محددة لمعطيات تستخرج من كل القاعدة أو من جزء منها، وتطلق أيضا على عملية تحديد الكائن الذي يراد التعامل معهتَحْدِيد (المرادف العربي),,False,True
62123,semicolon,فَاصِلَة مَنْقُوطَة,point virgule,Semikolon,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62123,(الرمز: ;),,False,True
62124,send out,بَثّ,émettre,aussenden,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62124,عملية إرسال وثيقة ما إلى جهة ما قد تكون قرصا أو عنوانا إلكترونيا أو غير ذلكإِرْسَال (المرادف العربي),,False,True
62125,separator,فَاصِل,séparateur,Trenner,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62125,محرف يفصل بين كلمتين مثل النقطة والفاصلة والقاطعة وغير ذلك,,False,True
62126,separator character,مِحْرَفُ الْفَصْل,caractère de séparation,Trennzeichen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62126,محرف يفصل بين كلمتين مثل النقطة والفاصلة والقاطعة وغير ذلك,,False,True
62127,sequential access,وُلُوجٌ تَسَلسُليّ,accès séquentiel,sequenzieller Zugriff,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62127,الوصول إلى مواقع التخزين بكيفية تسلسلية فقط تستدعي قراءة الموقع من بدايته,,False,True
62128,serial line internet protocol (SLIP),بُرُوتُوكُول الْخَطِّ التّسَلْسُلِيّ للإنْتِرْنِيت,protocole internet série en ligne,Serial Line-Internetprotokoll (SLIP),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62128,بروتوكول لتحقيق الاتصال بإنترنت بواسطة إدارة رقم هاتفي. ويعتمد تأطير الحزمة في تحديد كيفية إنشاء وإرسال حُزم عبر خط بيانات تسلسلي,,False,True
62129,serial port,بَوَّابَةٌ تَسَلْسُلِيَّة,port série,serieller Anschluss,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62129,تمكن من نقل المعطيات في شكل بتات متعاقبة,,False,True
62130,serial transmission,إرْسَالٌ تَسَلْسُلِيّ,transmission série,serielle Übertragung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62130,إرسال متتابع لكل البتات المكوّنة للمحرف. الإرسال التسلسلي يحتاج سلكا واحدا فقط,,False,True
62131,server,مُزَوِّد,serveur,Server,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62131,حاسوب يزود الحواسيب المتصلة به، بالملفات والمعلومات. تتضمن مزودات إنترنيت الشائعة، مزودات الملفات، ومزودات خدمات أسماء النطاقخَادِم (المرادف العربي),,False,True
62132,server page,صَفْحَةُ الخَادِم,page de serveur,Serverseite,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62132,صفحة مختارة تخزن في صندوق البريد الإلكتروني للمرسل إليه يستقبل فيها إشارة تعلمه بوصول المعلومات الجديدة,,False,True
62133,service,خِدْمَة,service,Dienst,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62133,لفظ عام يطلق على كل المعلومات أو الإمكانات التقنية، مثل البحث أو الطبع وغيرها، التي يمكن أن يوفرها جهاز أو مزود,,False,True
62134,session,حِصَّة,session,Sitzung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62134,المدة الزمنية التي يكون فيها المستعمل في اتصال مع حاسوب مزود أو قاعدة معطيات,,False,True
62135,set,مَجْمُوعَة,ensemble,Menge,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62135,لفظ عام يطلق على مجموع عناصر منسجمة تكون وحدة مثل مجموعة المحارف ومجموعة التعليمات وغيرهما,,False,True
62138,set-up,إِرْسَاء,installer,einrichten,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62138,مجموعة التحضيرات التي يجب إنجازها لكي تصبح برمجية ما قابلة للاستعمال على الحاسوب,,False,True
62136,setting,ضَبْط,réglage,Einstellung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62136,أمْثَلَة التشكيلة التي ترتكز على تلاؤم مختلف مكوّنات عتاد وبرمجيات الحاسوب، هدفها تحسين إنجاز النظام، أو في بعض الحالات، تكييفه لمهمة معيّنة,,False,True
62137,setting wizard,مُسَاعِد الإعْدَادَات,assistant d'installation,Einstellungsassistent,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62137,أداة برمجية توفرها عادة مختلف الأنظمة والبرمجيات لتسهيل عملية إرسائها في الحاسوب,,False,True
62139,shadow,ظِلّ,ombre,Schatten,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62139,من أشكال ترئية النصوص والرسوم تظهرها وكأن لها ظلاَّ,,False,True
62140,share,اقْتِسَام,partager,gemeinsam nutzen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62140,عملية إشراك مجموعة من المستعملين أو الأجهزة في خدمة أو تجهيزات ما,,False,True
62141,shared data base,قَاعِدَةُ مُعْطَيَاتٍ مُشْتَرَكَةٌ,base partagée de données,gemeinsam genutzte Datenbank,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62141,قاعدة معطيات يشترك في الولوج إليها عدد من المستعملين، أو يتم استغلالها بواسطة عدد من البرامج,,False,True
62142,shared line,خَطٌّ مُشْتَرَك,ligne partagée,Gemeinschaftsanschluss,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62142,خط هاتفي يشترك فيه عدد من المستعملين للاتصال بحاسوب عن بعد أو الولوج إلى شبكة,,False,True
62143,shareware,بَرْمَجِيَّةٌ مُشْتَرَكَة,logiciel contributif,Shareware,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62143,برمجية يمكن نقل بعض صيغها وتجريبها قبل شراء الصيغة التامة التي تتطلب التسجيل وأداء حق الاستعمال,,False,True
62144,sheet,وَرَقَة,feuille,Blatt,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62144,فسحة يخلقها مجدول لخلق جداول معطيات. هذه الفسحة مربعة والسطور والأعمدة فيها تحدد الخلايا,,False,True
62145,sheet feed,تَزْوِيدٌ بِالْوَرَق,alimentation en papier,Blattzufuhr,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62145,عملية وضع الورق في المكان المناسب من الطابعة عند نفاده,,False,True
62146,short message service (SMS),خِدْمَةُ الرَّسَائِلِ الْقَصِيرَة,service des messages courts (SMS),Kurzmitteilungsdienst (SMS),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62146,خدمة توفرها شبكات الهاتف المحمول لتبادل الرسائل القصيرة المكتوبة بين الهواتف المحمولة، وتوفرها أيضا بعض المواقع لإرسال الرسائل القصيرة إلى الهاتف المحمول عبر الإنترنيت,,False,True
62147,shortcut,أَيْقُونَة اخْتِصَار,raccourci,Schnelltaste,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62147,تأليفة مفاتيح تمكّن من إطلاق برنامج  أو عمل نوعيّ لبرمجيّة تطبيق,,False,True
62148,shutdown,إيقَاف التَّشْغِيل,éteindre,herunterfahren,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62148,مصطلح يشير إلى التدخل الذي يجب القيام به أو الآمرة التي يجب تنفيذها لإيقاف نظام التشغيل بكيفية سليمة قبل قطع التيار الكهربائي عن الحاسوب,,False,True
62149,signing file,مِلَفّ تَوْقِيع,fichier signature,Signaturdatei,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62149,ملف يضم معلومات يتأكد بواسطتها المستقبل من أن الملف الذي توصل به موثوق المصدر ولم يتدخل فيه أي طرف ثالث,,False,True
62150,simple mail transfer protocol (SMTP),بُرُوتُوكُولٌ بَسِيط لِنَقْلِ الْبَرِيد,protocole de transfert de courrier simple,Simple Mail Transfer Protocol (SMTP),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62150,بروتوكول من مجموعة تي سي بي/آي بي يستخدم لنقل النصوص أثناء تبادل الرسائل عبر إنترنيت,,False,True
62151,simultaneous processing,مُعَالَجَةٌ مُتَآنِيَّة,traitement simultané,gleichzeitige Verarbeitung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62151,تنفيذ أكثر من برنامجين أو وظيفتين في الوقت نفسه,,False,True
62152,site,مَوْقِع,site,Site,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62152,عبر إنترنيت، نسمي 'الموقع' المزوّد أو المضيف الذي توجد فيه المعلومات التي نبحث عنها,,False,True
62153,site web,مَوقِعُ وِيبْ,site web,Website,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62153,مجموعة صفحات النصوص المتشعبة الوَلوجَة لعنوان الإنترنيت نفسه. هذه الصفحات ليس من الضروري أن تكون مخزنة في الحاسوب نفسه,,False,True
62154,size,حَجْم,taille,Größe,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62154,أبعاد محرف أو شاشة أو سعة الذاكرة أو قرص مثلابُعْد (المرادف العربي),,False,True
62155,skip,تَخَطٍّ,saut,überspringen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62155,متابعة تنفيذ برنامج ما دون تنفيذ برنامج فرعي وذلك بتخطيه,,False,True
62156,slash,خَطٌّ مَائِل,trait oblique,Schrägstrich,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62156,(الرمز: /),,False,True
62157,slave,خَادِم,esclave,Slave,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62157,حاسوب يتحكم فيه حاسوب آخر,,False,True
62158,slave computer,حَاسُوبٌ مُسَخَّر,ordinateur esclave,Slave-Computer,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62158,حاسوب ثانوي مرتبط من خلال شبكة مع حاسوب رئيسي يسمى حاسوبا مضيفا,,False,True
62159,sleep mode,مِنْوَالُ رَاحَة,mode sommeil,Energiesparmodus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62159,عادة ما يتوفر هذا المنوال في الحواسيب المحمولة حيث يمكن من اقتصاد الطاقة دون فقدان محتوى الذاكرة الرئيسية، بحيث يمكن استئناف تنفيذ برنامج انطلاقا من موقع توقفه,,False,True
62160,slotsoftware development kit,طَقْمُ تَطْوِيرِ الْبَرْمَجِيَّات,kit de développement de logiciels,Software Development Kit für Münzautomaten,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62160,مجموعة من الأدوات البرمجية تساعد على تطوير البرمجيات التطبيقية، وتضم عادة برامج أساسية تغني المطور عن إعادة كتابتها,,False,True
62161,smiley,بَسْمَة,sourire,Smiley,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=62161,علامة تعبر عن الرضا أو الغضب في الرسائل,,False,True
