term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,no,pl,pt,sl,sr,sv,zh
161-07-05,multicycle control (by half-cycles),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-07-05,تحكم متعدد الدورات (بأنصاف الدورات),"Vielperiodensteuerung, <durch Halbschwingungen> f",multicycle control (by half-cycles),control multiciclo,monijakso-ohjaus,"commande par trains d'alternances, f",controllo con treni di cicli,"多重サイクル制御, <半サイクルによる>","다중 주기 제어, <반 주기>",styring med halvperiodar,sterowanie wielocyklowe (wielokrotność połowy cyklu),controlo por trens de alternâncias,večperiodno krmiljenje s polperiodami,"вишециклично управљање, <у полупериодама> с јд",sekvensperiodstyrning,"多周控制, <按半周的>"
161-07-06,synchronous multicycle control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-07-06,تحكم متزامن متعدد الدورات (بأنصاف الدورات),"synchronisierte Vielperiodensteuerung, f",synchronous multicycle control,control síncrono de los multiciclos,tahdistettu monijakso-ohjaus,"commande synchrone par trains d'alternances, f",controllo sincrono con treni di cicli,同期多重サイクル制御,동기 다중 사이클 제어,synkronisert styring med halvperiodar,sterowanie wielocyklowe synchroniczne,controlo síncrono por trens de alternâncias,sočasno večperiodno krmiljenjesinhrono večperiodno krmiljenje,"синхроно вишециклично управљање, с јд",synkron sekvensperiodstyrning,同步多周控制
161-07-07,burst firing control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-07-07,التحكم بإشعال الإنفجار,"Impulspaketsteuerung, f",burst firing control,control por ráfagas,sinimuotoinen monijakso-ohjaus,"commande par déclenchement d'une salve, f",controllo di innesco con un treno di cicli,バースト点弧角制御,버스트 점호각 제어,·····,sterowanie wzbudzenia wiązki,controlo por disparo de salva,rafalno krmiljenje,"управљање рафалом, с јдуправљање окидањем, с јд",nollgenomgångstyrning,猝发导通控制
161-07-08,generalized phase control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-07-08,تحكم عام في الطور,"Anschnittsteuerung, f",generalized phase control,control de fase generalizado,yleinen vaiheohjaus,"réglage de phase généralisé, m",regolazione di fase generalizzato,汎用位相制御,범용 위상 제어,generell fasestyring,regulacja fazy ogólna,regulação de fase generalizada,posplošeno fazno krmiljenje,"укупно фазно управљање, с јд",fasstyrning,广义相位控制
161-07-09,phase control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-07-09,تحكم في الطور,"Zündeinsatzsteuerung, f",phase control,ángulo de retardocontrol por fase,vaiheohjaus,"réglage de phase, m","regolazione anche ""controllo"" di fase",位相制御,위상 제어,fasestyring,regulacja fazy,regulação de fase,fazno krmiljenje,"фазно управљање, с јд",fasvinkelstyrning,相位控制
161-07-10,delay angle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-07-10,زاوية التأخير,"Verzögerungswinkel, m",delay angle,ángulo de retardoángulo de retraso,kulmaviive,"angle de retard, m",angolo di ritardo,制御遅れ角,지연각,forseinkingsvinkel,kąt opóźnienia,ângulo de atraso,zakasnilni kotkot zakasnitve,"угао кашњења, м јд",fördröjningsvinkel,延迟角
161-07-11,symmetrical control (single phase),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-07-11,تحكم تماثلي (أحادي الطور),"symmetrische Steuerung, <einphasig> f",symmetrical control (single phase),control simétrico (en monofásico),symmetrinen ohjaus,commande symétrique (en monophasé) f,controllo simmetrico (monofase),"対称制御, <単相>","대칭 제어, <단상>",symmetrisk styring,regulacja symetryczna (jednofazowa),controlo simétrico (em monofásico),simetrično krmiljenje,"симетрично управљање, <монофазно> с јд",symmetrisk styrning,"对称控制, <单相>"
161-07-12,asymmetrical control (single phase),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-07-12,تحكم غير تماثلي (أحادي الطور),"unsymmetrische Steuerung, <einphasig> f",asymmetrical control (single phase),control asimétrico (en monofásico),epäsymmetrinen ohjaus,commande asymétrique (en monophasé) f,controllo asimmetrico (monofase),"非対称制御, <単相>","비대칭 제어, <단상>",asymmetrisk styring,regulacja niesymetryczna (jednofazowa),controlo assimétrico (em monofásico),asimetrično krmiljenje enofazno,"асиметрично управљање, <монофазно> с јд",asymmetrisk styrning,"不对称控制, <单相>"
161-07-13,cycle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-07-13,دورة,"Zyklus, m",cycle,ciclo,jakso,"cycle, m",ciclo,サイクル,주기,"syklus, sekvens",cykl,ciclo,cikel,"циклус, м јд",period,周期
161-07-14,cycle of operation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-07-14,دورة تشغيل,"Betätigungszyklus, m",cycle of operation,ciclo de funcionamientoimpedancia del sistema (de alimentación),toimintajakso,"cycle (de fonctionnement), m",ciclo di funzionamento,動作サイクル,작동 주기,driftssekvens,cykl operacji,ciclo de funcionamento,obratovalni cikel,"циклус рада, м јд",funktionscykel,工作周期
161-07-15,point of common coupling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-07-15,نقطة التقارن المشترك,"Verknüpfungspunkt, mPCC, Abkürzung",point of common couplingPCC (abbreviation),PCC (abreviatura)punto de acoplamiento comúnpunto de conexión común,liittämiskohta,"point de couplage commun, mPCC (abréviation) m",punto di accoppiamento comune,"共通結合点PCC, （略語）",공통 결합점PCC,felles tilknytingspunkt,punkt wspolny połączenia z siecią publicznąPWP (akronim),ponto de acoplamento comum (à rede pública)PAC (abreviatura),skupna priključna točka,"заједничка прикључна тачка, ж јдPCC",gemensam anslutningspunkt,公共耦合点PCC
161-07-16,supply system impedance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-07-16,معاوقة نظام التغذية,"Versorgungsnetzimpedanz, f",supply system impedance,impedancia del sistema (de alimentación),syöttävän verkon impedanssi,"impédance du réseau (d'alimentation), f",impedenza della rete (di alimentazione),系統側インピーダンス,전원 시스템 임피던스,impedans i forsyningsnett,impedancja systemu zasilania,impedância da rede (de alimentação),impedanca električnega napajalnega omrežja,"импеданса система напајања, ж јд",impedans hos distributionsnät,供电系统阻抗
161-07-17,service connection impedance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-07-17,معاوقة توصيل الخدمة,"Hausanschlussimpedanz, f",service connection impedance,impedancia de la conexión de servicio,liittymisjohdon impedanssi,"impédance de branchement, f",impedenza di connessione,引込み線インピーダンス,서비스 접속 임피던스,pluggendeimpedans,impedancja przyłącza służbowego,impedância de conexão,impedanca uporabniškega priključka,"импеданса корисничког прикључка, ж јд",impedans hos servisledning,供电连接阻抗
161-07-18,installation wiring impedance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-07-18,معاوقة أسلاك التركيب,"Impedanz der internen Installation, f",installation wiring impedance,impedancia de una instalación interna,sisäasennusten impedanssi,"impédance de l'installation intérieure, f",impedenza dell'impianto interno,内線インピーダンス,설비 배선 임피던스,·····,impedancja instalacji wewnętrznej,impedância da instalação interior,impedanca žične napeljave,"импеданса електричног развода, ж јд",impedans hos installationsledning,设备接线阻抗
161-07-19,appliance impedance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-07-19,معاوقة الجهاز,"Betriebsmittelimpedanz, f",appliance impedance,ángulo de retrasoimpedancia de un aparato,laitteen impedanssi,"impédance d'appareil, f",impedenza d'apparecchio,装置インピーダンス,전기용품 임피던스,impedans i forbruksapparat,impedancja urządzenia,impedância de um aparelho,impedanca aparata,"импеданса апарата, ж јд",impedans hos bruksföremål,设备阻抗
161-08-01,voltage change,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-08-01,تغير الجهد,"Spannungsänderung, f",voltage change,variación de tensión,jännitteen muutos,"variation de tension, f",variazione di tensione,電圧変化,전압 변경,spenningsendring,zmiana napięcia,variação de tensão,napetostna spremembasprememba napetosti,"промена напона, ж јд",spänningsändring,电压变化
161-08-02,relative voltage change,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-08-02,تغير نسبي في الجهد,"relative Spannungsänderung, f",relative voltage change,variación relativa de la tensión,suhteellinen jännitteen muutos,"variation relative de la tension, f",variazione relativa della tensione,電圧変化率,상대 전압 변경,relativ spenningsendring,zmiana względna napięcia,variação relativa da tensão,relativna napetostna sprememba,"релативна промена напона, ж јд",relativ spänningsändring,相对电压变化
161-08-03,duration of a voltage change,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-08-03,مدة تغير الجهد,"Dauer einer Spannungsänderung, f",duration of a voltage change,duración de una variación de tensiónduración de una variación de tensión de encendido,jännitteen muutoksen kesto,"durée d'une variation de tension, f",durata di una variazione di tensione,電圧変化継続時間,전압 변화 지속 시간,varigheit av spenningsendring,czas trwania zmiany napięcia,duração de uma variação da tensão,trajanje napetostne spremembe,"трајање промене напона, с јд",varaktighet av spänningsändring,电压变化持续时间
161-08-04,voltage change interval,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-08-04,فترة تغير الجهد,"Spannungsänderungsintervall, n",voltage change interval,intervalo entre variaciones de tensión,jännitteen muutosten väli,"intervalle entre variations de tension, m",intervallo tra variazioni di tensione,電圧変化時間間隔,전압 변경 간격,intervall mellom spenningsendringar,odstęp czasu między zmianami napięcia,intervalo entre variações de tensão,presledek med napetostnima spremembama,"интервал између промена напона, м јд",intervall mellan spänningsändringar,电压变化时间间隔
161-08-05,voltage fluctuation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-08-05,تأرجح (تقلب) الجهد,"Spannungsschwankung, f",voltage fluctuation,fluctuación de tensión,jännitteen vaihtelu,"fluctuation de tension, f",fluttuazione di tensione,電圧変動,전압 변동,spenningsfluktasjon,wahania napięcia,flutuação de tensão,napetostno kolebanjekolebanje napetosti,"флуктуација напона, м јд",spänningsvariation,电压波动
161-08-06,voltage fluctuation waveform,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-08-06,شكل موجة تأرجح  (تقلب) الجهد,"Spannungsschwankungsverlauf, m",voltage fluctuation waveform,forma de onda de la fluctuación de tensión,jännitteen verhokäyrä,"(forme de la) fluctuation de tension, f",forma della fluttuazione di tensione,電圧変動波形,전압 변동 파형,kurveform for spenningsfluktasjon,kształt wahań napięcia,(forma da) flutuação de tensão,ovojnica napetostnega kolebanja,"таласни облик флуктуације напона, м јд",spänningsenvelopp,电压波动波形
161-08-07,magnitude of a voltage fluctuation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-08-07,مقدار  تأرجح  (تقلب) الجهد,"maximale Spannungsschwankung, f",magnitude of a voltage fluctuation,amplitud de una fluctuación de tensión,jännitteen vaihtelun suuruus,"amplitude d'une fluctuation de tension, f",ampiezza di una fluttuazione di tensione,電圧変動振幅,전압 변동 진폭,amplitude i ein spenningsfluktasjon,wartość wahań napięcia,amplitude de uma flutuação de tensão,velikost napetostnega kolebanja,"величина флуктуације напона, ж јд",spänningsskillnad,电压波动幅度
161-08-08,rate of occurrence of voltage changes,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-08-08,معدل حدوث تغيرات الجهد,"Spannungsänderungsrate, f",rate of occurrence of voltage changes,número de variaciones de tensión por la unidad de tiempo,jännitteen muutosten esiintymistiheys,"densité temporelle des variations de tension, fnombre de variations de tension par unité de temps, m",tasso delle variazioni di tensione,電圧変化発生率,전압 변경 발생률,hyppigheit av spenningsendringar,wskaźnik występowania zmian napięcia,taxa de ocorrência de variações de tensão,pogostnost napetostnih spremembpogostnost sprememb napetosti,"учесталост појаве промена напона, ж јд",spänningsändringsrat,电压变化发生率
161-08-09,voltage unbalance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-08-09,عدم إتزان الجهد,"Spannungsunsymmetrie, f",voltage unbalancevoltage imbalance,desequilibrio de tensión,jännite-epäsymmetria,"déséquilibre de tension, m",squilibrio di tensione,電圧不平衡,전압 불평형,spenningsubalanse,nierównowaga napięciowa,desequilíbrio de tensão,napetostno neravnotežjeneravnotežje napetosti,"неуравнотеженост напона, ж јд",spänningsobalans,电压不平衡
161-08-10,voltage dip,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-08-10,إنخفاض الجهد,"Spannungseinbruch, m",voltage dip,depresión de tensiónhueco de tensión,jännitekuoppa,"creux de tension, m",buco di tensione,電圧ディップ,전압 강하,"kortvarig spenningsfall, spenningsdipp",zanik napięcia,cava de tensão,napetostni upadupad napetosti,"пропад напона, м јд",kortvarig spänningssänkning,电压暂降
161-08-11,voltage surge,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-08-11,اندفاعة الجهد - جهد دفعي (تصاعدي),"Stoßwelle, f",voltage surge,impulso de tensión progresivoonda de sobretensiónsobretensión,syöksyjännite,"tension de choc (progressive), f",sovratensione transitoria,電圧サージ,전압 서지,(over)spenningspuls,podskok napięcia,tensão de choque (progressiva),napetostni udar,"напонски удар, м јдпренапонски импулс, м јд",spänningsvåg,电压浪涌
161-08-12,commutation notch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-08-12,حزة تبديل,"Spannungsunsymmetrie, f",commutation notch,corte de conmutaciónmella de conmutación,kommutointilovi,"encoche de commutation, f",buco di commutazione,転流ノッチ,정류 노치,kommuteringsinnsnitt,zmiana napięcia przy komutacji,queda de comutação,komutacijska preklopitvena zareza napetosti,"комутациони урез, м јдпропад, м јд",kommuteringshack,换相缺口
161-08-13,flicker,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-08-13,ارتعاش,"Flimmern, n",flicker,fkickerparpadeo,välkyntä,"papillotement, mflicker, m",sfarfallioflicker,フリッカ,플리커,"flikker, flimmer, flimring",migotanie,tremulaçãoflicker (desaconselhado),fliker,"фликер, м јдтреперење, с јд",flimmer,闪烁
161-08-14,flickermeter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-08-14,مقياس الإرتعاش,"Flicker-Messgerät, n",flickermeter,contador de parpadeos,välkyntämittari,"flickermètre, m",flickermetro,フリッカメータ,플리커 측정기,"flikkermålar, flimmermålar",miernik migotania,flickerímetro,flikermeter,"фликерметар, м јдмерач треперења, м јд",flickermeter,闪烁计
161-08-15,threshold of flicker perceptibility,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-08-15,عتبة الاحساس بالارتعاش,"Schwellenwert der Flimmerwahrnehmung, m",threshold of flicker perceptibility,umbral de la perceptibilidad del parpadeoumbral de perceptibilidad del parpadeo,välkynnän havaitsemiskynnys,"seuil de perceptibilité du papillotement, m",soglia di percettibilità del flicker,フリッカ感知しきい値,플리커 인지 임계값,"flikkerterskel, flimmerterskel",próg dostrzegania migotania,limiar de percepção da tremulação,prag zaznavanja flikerja,"праг уочљивости фликера, м јдпраг уочљивости треперења, м јд",flimmertröskel,闪烁感觉阈值
161-08-16,threshold of flicker irritability,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-08-16,عتبة تهيج الارتعاش,"Schwellenwert der Flimmerreizbarkeit, m",threshold of flicker irritability,umbral de irritabilidad del parpadeo,välkynnän ärsytyskynnys,"seuil d'irritabilité du papillotement, m",soglia di disturbo al flicker,フリッカ許容しきい値,플리커 허용 임계값,"irritasjonsgrense for flikker, irritasjonsgrense for flimmer, irritasjonsgrense for flimring",próg drażliwości migotania,limiar da irritabilidade da tremulação,prag združljivosti zaradi flikerja,"праг раздражљивости фликером, м јдпраг раздражљивости треперењем, м јд",irritationsgräns för flimmer,闪烁应激性阈值
161-08-17,fusion frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-08-17,تردد الإندماج,"Verschmelzungsfrequenz, f",fusion frequencycritical flicker frequency,frecuencia crítica de parpadeofrecuencia de fusión,välkynnän rajataajuus,"fréquence de fusion, ffréquence critique de papillotement, f",frequenza di fusionefrequenza critica di flicker,融合周波数臨界フリッカ周波数,융합 주파수임계 플리커 주파수,"frekvensgrense for flikker, kritisk flikkerfrekvens, frekvensgrense for flimmer, kritisk flimmerfrekvens",częstotliwość krytyczna migotania,frequência de fusãofrequência crítica da tremulação,zlivna frekvenca flikerjakritična frekvenca flikerja,"фреквенција стапања, ж јдкритична фреквенција фликера, ж јд",frekvensgräns för flimmer,停闪频率
161-08-18,short-term flicker indicator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-08-18,مبين الإرتعاش قصير المدى,"elektrischer Kurzzeit-Flickerwert, mKurzzeit-Flickerwert, m",short-term flicker indicator,indicador de parpadeo (flicker) de corta duraciónindicador de parpadeo de corta duración,lyhytaikainen välkyntä,"indicateur de papillotement de courte durée, m",indicatore di flicker di breve durata,"短時間フリッカインジケータPst, （記号）",단기 플리커 지시기,"korttids flikkerverdi, korttids flimmerverdi",wskaźnik migotania krótkoterminowy,indicador de tremulação de curta duração,indikator kratkotrajnega flikerja,"индикатор краткотрајног фликера Pst, м јд",korttidsflimmer,短时闪烁值
161-08-19,long-term flicker indicator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-08-19,مبين الإرتعاش طويل المدى,"elektrischer Langzeit-Flickerwert, mLangzeit-Flickerwert, m",long-term flicker indicator,indicador de parpadeo (flicker) de larga duraciónindicador de parpadeo de larga duración,pitkäaikainen välkyntä,"indicateur de papillotement de longue durée, m",indicatore di flicker di lunga durata,"長時間フリッカインジケータPlt, （記号）",장기 플리커 지시기,"langtids flikkerverdi, langtids flimmerverdi",wskaźnik migotania długoterminowy,indicador de tremulação de longa duração,indikator dolgotrajnega flikerja,"индикатор дуготрајног фликера Plt, м јд",långtidsflimmer,长时闪烁值
161-08-20,short interruption (of supply voltage),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-08-20,انقطاع قصير (لجهد التغذية),"Kurzzeitunterbrechung, <der Versorgungsspannung> f",short interruption (of supply voltage),interrupción breve (de la tensión de alimentación)interrupción corta (de la tensión de alimentación),lyhyt katkos,"coupure brève (de la tension d’alimentation), f",breve interruzione (della tensione di alimentazione),供給電圧の短時間停電短時間停電,순간 정전,kortvarig spenningsbortfall,krótka przerwa zasilaniaprzerwa krótka  krótka przerwa,interrupção breve (da tensão de alimentação),kratka prekinitev (napajalne napetosti),"краткотрајни прекид, <напона напајања> м јд",kortvarigt spänningsbortfall,"短时中断, <供电电压的>"
