term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,no,pl,pt,ru,sl,sr,sv,zh
461-14-03,insulated shield cable system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-14-03,نظام كابل ذي درع معزول,"Kabelsystem mit isoliertem Schirm, n",insulated shield cable system,circuito de cables con pantallas aisladas,eristetty sähköinen suoja kaapelijärjestelmässä,"circuit de câbles à écrans isolés, m",sistemi di cavi con schermi isolati,シールド絶縁ボンド方式,절연 차폐 케이블 시스템,тусгаарлагдсан бүрээс бүхий кабелийн систем,kabelanlegg med isolert kappe/skjerm,"system kablowy z ekranami wzajemnie izolowanymi, m",sistemas de cabos com blindagens isoladas,система изоляции экранированных кабелей,kabli z izoliranimi zasloni,"систем каблова са изолованим плаштом, м јд",isolerad skärm,金属屏蔽绝缘的电缆系统
461-14-04,elementary section,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-14-04,قطاع أولي,"Grundabschnitt, m",elementary section,sección elemental,yhdistämisväli,"section élémentaire, f",sezione elementare,マイナーセクション,기본 구간,энгийн хэсэг,delseksjon,"sekcja elementarna, f",secção elementar,элементарная секция,osnovni odsek,"основна секција, ж јд",delsektion,单元段小段
461-14-05,solid bond,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-14-05,ربط صلب محكم,"feste Schirmverbindung, f",solid bond,conexión directa,jäykkä kytkentä,"connexion directe, f",connessione diretta,ソリッドボンド,완전 본딩,хатуу холболт,direkte skjermkopling,"trwałe połączenie ekranu, n",conexão directaligação directa,глухое соединение,neposredni spoj,"чврсто изједначење потенцијала, с јд",direkt skärmkoppling,紧固互联
461-14-06,single-point bonding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-14-06,تأريض بنقطة وحيدة مشتركة,"einseitige Erdung, f",single-point bonding,puesta a tierra en un solo punto,yksipistekytkentä,"mise à la terre en un seul point, f",connessione (a terra) in un singolo punto,片端接地,일점 본딩,нэг цэгийн холболт,open kappe/skjerm,"uziemienie ekranów w jednym punkcie, n",conexão à terra num único pontoligação à terra num único ponto,соединение в одной точке,ozemljitev v eni sami točki,"изједначење потенцијала у једној тачки, с јд",öppna skärmar,单点互联
461-14-07,cross-bonding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-14-07,توصيلات تبادلية بين الأوجه,"Auskreuzen (von Schirmen), n",cross-bonding,permutación,sähköisten suojien vuorottelu,"permutation, f",connessione trasposta,クロスボンド,교차 본딩,хөндлөн холболт,krysskopling,"krzyżowanie ekranów, n",permutação,поперечное соединение,permutiranjezamenjevanje,"унакрсно изједначење потенцијала, с јд",korskoppling av skärmar,交叉互联
461-14-08,sectionalised cross-bonding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-14-08,توصيلات تبادلية بين الأوجه مقسمة,"unterteiltes Auskreuzen (von Schirmen), n",sectionalised cross-bonding,permutación ternaria,jaksoittainen vuorottelu,"permutation ternaire, f",connessione trasposta a sezioni ternarie,クロスボンドを形成する３区間ＮＪで接地するタイプのクロスボンド,구간별 교차 본딩,хэсэгчилсэн хөндлөн холболт,seksjonert krysskopling,"krzyżowanie ekranów podzielonych, n",permutação ternária,секционированное соединение,trojno permutiranjetrojno zamenjevanje,"секционисано унакрсно изједначење потенцијала, с јд",korskoppling med huvudsektioner,分段交叉互联
461-14-09,uniform major section,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-14-09,مقطع رئيسى منتظم,"gleichmäßiger Hauptabschnitt, m",uniform major section,sección ternaria uniforme,yhdenmukainen pääjakso,"section ternaire uniforme, f",sezione ternaria uniforme,区間長均等,균일 주구간,нэг төрлийн үндсэн хэсэг,hovudseksjon,"sekcja główna jednorodna, f",secção ternária uniforme,однородная главная секция,enolični trojni odsekneprekinjeno zamenjevanje,"униформна главна секција, ж јд",balanserad huvudsektion,均匀大段
461-14-10,continuous cross-bonding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-14-10,تبادلية بين الأوجه مستمرة,"kontinuierliches Auskreuzen (von Schirmen), n",continuous cross-bonding,permutación continua,jatkuva vuorottelu,"permutation continue, f",connessione trasposta continua,連続クロスボンドＮＪを持たないタイプのクロスボンド,연속 교차 본딩,үргэлжилсэн хөндлөн холболт,gjennomgåande krysskopling,"krzyżowanie ciągłe, n",permutação contínua,непрерывное поперечное соединение,neprekinjeno permutiranje,"непрекидно унакрсно изједначење потенцијала, с јд",fortlöpande korskoppling,连续交叉互联
461-14-11,shield standing voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-14-11,جهد الدرع,"Schirmspannung, f",shield standing voltage,tensión de pantalla en régimen permanente,sähköisen suojan käyttötilajännite,"tension d'écran en régime permanent, f",tensione permanente dello schermo,誘起電圧,차폐 기본 전압,хамгаалалтын бүрээсний дээр үүсэх хүчдэл,spenning i kappe/skjerm,"napięcie indukowane w ekranie, n",tensão de blindagem em regime permanente,остаточное напряжение,(trajna) napetost zaslona,"заостали напон у плашту, м јд",driftfrekvent skärmspänning,金属屏蔽持续电压
461-15-01,parallel earth continuity conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-15-01,موصل موازي لاستمرار التأريض,"Parallelerdungsleiter, m",parallel earth continuity conductor,conductor de tierra en paralelo,rinnakkainen maadoitusjohdin,"conducteur de terre en parallèle, m",conduttore di terra parallelo,平行地線,병렬 접지 연속 도체,газардуулгын зэрэгцээ дамжуулагч,langsgåande jordleiar,"przewód uziemiający ciągły równoległy, m",condutor de terra em paralelo,параллельный заземляющий непрерывный провод,vzporedni ozemljitveni vodnik,"паралелни непрекидни проводник за уземљење , м јд",längsgående jordledare,平行连续接地导体
461-15-02,shield voltage limiter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-15-02,محدد جهد الدرع,"Schirmspannungsbegrenzer, m",shield voltage limiter,limitador de sobretensión de pantalla,sähköisen suojan jännitteen rajoitin,"limiteur de surtension d’écran, m",limitatore di tensione dello schermo,防食層保護装置アレスタ,차폐 전압 제한기,бүрээсний хүчдэл хязгаарлагч,overspenningsavleiar for kappe/skerm,"ogranicznik napięcia w ekranie, m",limitador de sobretensão na blindagem,ограничитель напряжения на экране кабеля,omejevalnik napetosti zaslona,"оганичавач напона на плашту, м јд",överspänningsskydd för skärm,金属屏蔽层电压限制器
461-15-03,link box (for insulated shield system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-15-03,صندوق ارتباط (لنظام الدرع ا لمعزول),"Schirmanschlusskasten (für Kabelsysteme mit isoliertem Schirm), m",link box (for insulated shield system),caja de conexiones (para circuitos con pantallas aisladas),kytkentäkotelokytkentäkotelo eristetylle sähköiselle suojalle,boîte de connexions (pour circuit à écrans isolés) f,cassetta di connessione (per sistemi a schermi isolati),リンクボックス,"링크함, <절연 차폐 시스템>","холболтын хайрцаг, <тусгаарласан бүрээстэй системд зориулсан>",skjermkoplingsboks,skrzynka połączeniowa (do systemu kablowego z ekranami izolowanymi)f,caixa de conexões (para circuitos com blindagens isoladas),соединительная коробка (для системы изолированных экранов),povezovalna omarica (za tokokrog z izoliranimi zasloni),"спојна кутија, <за систем са изолованим плаштом>  ж јд",kopplingslåda (för isolerad skärm),"连接箱, <屏蔽绝缘系统用>"
461-15-04,shield bonding lead,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-15-04,وصلة ربط الساتر,"Schirmverbindungsleitung, f",shield bonding lead,conductor de conexión de pantalla,sähköisen suojan kytkentäjohdin,"conducteur de connexion d'écran, m",conduttore di connessione degli schermi,ボンディングワイヤ,차폐 본딩 전선,бүрээсийг холбоход зориулсан хар тугалган утас,skjermkoplingsleiar,"przewód połączeniowy ekranów, m",condutor de conexão na blindagem,соединительный провод кабельного экрана,vodnik za povezavo zaslona,"вод за изједначење потенцијала плашта, м јд",skärmanslutningskabel,金属屏蔽层互联引线
461-15-05,joint-sleeve insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-15-05,عزل كم الوصلة,"Muffengehäuseisolierung, f",joint-sleeve insulation,aislamiento del manguito de empalme,jatkoksen sähköisen suojan eristys,"isolation de la boîte de jonction, f",isolante della cassetta di giunzione,ジョイントスリーブ絶縁防食,접속 슬리브 절연,холболтын оруулгын тусгаарлагч,skøytehylseisolasjon,"izolacja nasuwki łączącej, fizolacja mufy, f",isolação de caixa de junção,изоляция соединительной муфты,izolacija ohišja spojke,"изолациона навлака за спојнице, ж јд",isolation av skärmseparation,接头外壳绝缘
461-16-01,thermal resistance (of an element of a cable),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-16-01,مقاومة حرارية( لعنصر من كابل),"thermischer Widerstand (eines Kabelaufbauelements), m",thermal resistance (of an element of a cable),resistencia térmica (de un elemento de cable),lämpöresistanssikaapelin osan lämpöresistanssi,résistance thermique (d'un élément de câble) f,resistenza termica (di un elemento di un cavo),ケーブル各部分の熱抵抗,"열적 저항, <케이블 요소>","дулааны эсэргүүцэл, <кабелийн элементийн>",termisk resistans,rezystancja cieplna (elementu kabla) f,resistência térmica (de um elemento de cabo),тепловое сопротивление (элемента кабеля),toplotna upornost (elementa kabla),"топлотна отпорност, <елемента кабла> ж јд",termisk resistans,"热阻, <电缆元件的>"
461-16-02,butt gap (for cables),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-16-02,فاصل بين لفات شريط (للكابلات),"Wicklungslücke (bei Kabeln), f",butt gap (for cables),separación entre bordes (para cables),nauhaväli,déjoint (pour câbles) m,discontinuità,ギャップ巻きテープ間のギャップ幅,"맞대기 틈새, <케이블>","завсар, <кабелийн>",viklingsfuge,prześwit międzyzwojowy (taśmy nawiniętej na element kabla) m,espaçamento da fita (em cabos),зазор (для лент кабелей),medovojni presledek,"размак омотавања, <за каблове> м јд",bandlucka,"绕包间隙, <电缆用>"
461-17-01,(terminal) lug,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-17-01,عروة (طرف),"Kabelschuh, m",(terminal) lug,terminal (conector terminal),kaapelikenkä,"cosse d'extrémité, f",capocorda,端子,단자 돌기,оруулгын сүвэгчгогцоо,kabelsko,"końcówka kablowa, fzacisk kablowy, m",(conector) terminal(ligador) terminal (desaconselhado),наконечник,kabelski čevelj,"прикључна папучица , ж јд",kabelsko,接线端子
461-17-02,streamlined terminal lug,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-17-02,طرف عروة أنسيابى,"geglätteter Kabelschuh, m",streamlined terminal lug,terminal antiefluvios,pyöristetty kaapelikenkä,"cosse d'extrémité à pare-effluve, f",capocorda non ionizzante,電界緩和型端子,유선형 단자 돌기,оруулгын гөлгөр сүвэгч,avglatta kabelsko,"końcówka wyrównująca, f",terminal uniformizador de campo,наконечник обтекаемой формы,zglajeni kabelski čevelj,"заобљена прикључна папучица, ж јд",kantgradad kabelsko,流线形接线端子
461-17-03,connector (of cables),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-17-03,رابط (للكابلات),"Verbinder (von Kabeln), m",connector (of cables),conector (de cables),liitinkaapeliliitin,raccord (de connexion) (de câbles) m,connettore (di un cavo),コネクタ,"연결자, <케이블>","холбогч, <кабелийн>",kopling,"złączka kablowa, f",conector (de cabos)ligador (de cabos) (desaconselhado),соединительная гильза (кабелей),(kabelski) konektor,"конектор, <за каблове> м јд",skarvhylsa,"连接金具, <电缆的>"
461-17-04,joint ferrule,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-17-04,رابط مباشر (للكابلات)حلقة ربط,"Verbindungshülse, f",joint ferrulethrough connector (of cables),conector de empalme o manguito (de cables),jatkosholkki,raccord de jonction (de câbles) m,connettore di giunzione,導体接続管,접속 패롤,металл холбогч,skøytehylse,"złączka przelotowa, f",conector de junção (de cabos)união (de cabos),сквозная соединительная гильза,spojna (kabelska) tulka,"спојна цевчица, ж јд",skarvhylsa,"连接管, <电缆的>"
461-17-05,branch connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-17-05,وصلة فرعيةحلقة معدنية,"Abzweigverbinder, mAbzweighülse, f",branch connectorbranch ferrule,conector de derivación,haaroitusliitin,"raccord de dérivation, m",connettore di derivazione,分岐導体接続管,분기 접속기,салаалах холбогч,avgreiningskopling,"złączka odgałęźna, f",conector de derivaçãoligador de derivação (desaconselhado),ответвительный соединитель,odcepna (kabelska) tulka,"одвојни конектор, м јдодвојна чаура, ж јд",avgreningshylsa,分支连接管
461-17-06,barrel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-17-06,"برميل(لعروة طرفية,لتوصيلة)","Hülse, f",barrel,"caña (de un terminal, de un conector,…)",holkkikaapelikengän tai kaapeliliittimen holkki,"fût , m","fusto (di un connettore, di un capocorda)",補強鋼管,배럴,бортого,hylse,"tuleja końcówki, f","fuste (de um terminal, de um conector, ...)","хвостовик (наконечника, соединительной гильзы)",tulec (kabelskega čevlja konektorja),"чаура, ж јд",ledarinföringsdel,"圆管, <接线端子的，连接器的>"
461-17-07,palm (of terminal lug),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-17-07,الجزء المسطح (من عروة التوصيل),"Anschlusslasche (eines Kabelschuhs), f",palm (of terminal lug),pala (de un terminal),lapakaapelikengän lapa,plage de raccordement (d'une cosse d'extrémité) f,zona di fissaggio (di un capocorda),端子部品,"팜, <단자 돌기>","нүхтэй хавтгай хэсэг, <оруулгын сүвэгчийн>",sko (kabelsko),"ucho końcówki, noczko końcówki, n",patilha de conexão (de um terminal),зажимная часть (наконечника),priključni del (kabelskega čevlja),"стопа , <прикључне папучице> ж јд",ledarinföringsdel,"连接板, <接线端子的>"
461-17-08,bimetallic lug,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-17-08,عروة ثنائية المعدن,"Bimetall-Kabelschuh, m",bimetallic lug,terminal bimetálico,vaihtokaapelikenkäbimetallinen kaapelikenkä,"cosse bimétallique, f",capocorda bimetallico,２種類の金属貼り合わせ端子,쌍금속 돌기,хоёр металлын орцтой оруулгын сүвэгч,bimetallisk kabelsko,"końcówka bimetalowa, f",terminal bimetálico,биметаллический наконечник,bimetalni (kabelski) čevelj,"биметална папучица, ж јд",bimetallkabelsko,双金属接线端子
461-17-09,bimetallic connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-17-09,وصلة ثنائية المعدن,"Bimetallverbinder, m",bimetallic connector,conector bimetálico,vaihtoliitinbimetallinen liitin,raccord bimétallique (de câbles) m,connettore bimetallico,２種類の金属貼り合わせコネクタ,쌍금속 연결기,хоёр металлын орцтой холбогч,bimetallisk kopling,"złączka bimetalowa, f",conector bimetálico (de cabos),биметаллическая соединительная гильза,bimetalni konektor,"биметални конектор, м јд",bimetallskarvhylsa,双金属连接器
461-17-10,stress-cone,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-17-10,مخروط تنظيم الاجهاد,"Feldsteuerkonus, m",stress-cone,cono deflector,kentänohjauskeila,"cône déflecteur, m",cono deflettore,ストレスコーン,변형력 원뿔,цахилгаан орны хүчлэг жигдрүүлэгч,stresskonus,"stożek sterujący, mstożek naprężeń, m",cone deflector,выравнивающий конус,deflektorrazbremenilni stožec,"заобљени конус, м јд",stresskona,应力锥
461-17-11,resistive stress grader,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-17-11,مدرج للإجهاد بتغييرالمقاومة,"Widerstands-Feldsteuerung, f",resistive stress grader,repartidor lineal de tensión,resistiivinen kentänohjausosa,"répartiteur linéaire de tension , mRLT, m",ripartitore lineare di tensione,ストレス制限装置,저항성 변형력 선급기,хагас дамжуулагч бүхий цахилгаан орны хүчлэг жигдрүүлэгч,resistiv (lineær) feltstyringsdel,"warstwa sterująca, f",repartidor de tensão,выравнивающее устройство с переменным сопротивлением,linearni oblikovalnik potenciala,"компонента за ограничавање електричног поља, ж јд",resistiv fältstyrningsdel,电阻式应力控制件
461-17-12,screen connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-17-12,رابط ستارةرابط درع,"Schirmverbinder, m",screen connectorshield connector,conector de pantalla,sähköisen suojan liitin,"prise d'écran, f",presa di schermo,遮へいコネクタ,차폐 연결기,экраны холбогчбүрээсний холбогч,skjermkopling,"przyłącze ekranu, n",tomada de ecrãtomada de blindagem,соединитель экрана,zaslonski konektor,"конектор екрана, м јдконектор плашта, м јд",skärmanslutning,屏蔽连接部件
461-18-01,tension clamp (for insulated cables),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-18-01,ماسك شد ( للكابلات المعزولة ),"Abspannklemme (für Luftkabel), f",tension clamp (for insulated cables),pinza de anclaje (para cables aislados),kiristyspidike,pince d'ancrage (de câbles isolés) f,morsa d’ancoraggio (per cavi isolati),引留クランプ吊下げクランプ,"장력 죔쇠, <절연 케이블>장력 클램프, <절연 케이블>","татагч хавчаар, <тусгаарлагатай кабелийн>","avspenningsklemme, forankringsklemme",uchwyt odciągowy (do przewodów napowietrznych izolowanych)m,pinça de amarração (de cabos isolados),натяжной зажим (для кабелей),napenjalna sponkanapenjalka,"затезна стезаљка, <за изоловане каблове> ж јд",spänndon,"耐张线夹, <电缆用>"
461-18-02,suspension clamp (for insulated cables),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-18-02,ماسك تعليق للكابلات المعزولة,"Tragklemme (für Luftkabel), fHalteklemme (für Luftkabel), f",suspension clamp (for insulated cables),pinza de suspensión (para cables aislados),kannatuspidike,pince de suspension (de câbles isolés) f,morsa di sospensione (per cavi isolati),懸垂クランプ,"현수 클램프, <절연 케이블>","дүүжин хавчаар, <тусгаарлагатай кабелийн>",hengjeklemme,uchwyt przelotowy (do przewodów napowietrznych izolowanych)m,pinça de suspensão (de cabos isolados),поддерживающий зажим (для кабелей),obesna sponkaobešalka,"носећа стезаљка, <за изоловане каблове> ж јд",hängdon,"悬挂线夹, <电缆用>"
461-19-01,crimped connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-19-01,وصلة مجعدة,"Pressverbindung, fCrimpverbindung, f",crimped connection,conexión por prensado,puristusliitos,"raccordement par sertissage, m",connettore a compressione,圧着接続,권축 연결,хавчсан холболт,presskøyt,"łączenie zaprasowane, nłączenie zaciskowe, n",conexão por compressãoligação por compressão (desaconselhado),соединение давлением,spojitev s stiskanjem,"спој притиском, м јд",pressad förbindning,压接
461-19-02,circular compressed connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-19-02,وصلة دائرية مضغوطة,"Rundpressverbindung, f",circular compressed connection,conexión por compresión circular,pyöröpuristusliitos,"raccordement par rétreint circulaire, m",connettore a compressione circolare,円形圧縮接続,원형 압축 연결,дугуйруулж шахсан холболт,rundpressa skøyt,"łączenie zaprasowane na okrągło, n",conexão por compressão circularligação por compressão circular (desaconselhado),соединение обжатием,spojitev s krožnim stiskanjem,"кружни облик споја притиском, м јд",rundpressad förbindning,圆形压接
461-19-03,hexagonal compressed connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-19-03,وصلة مضغوطة سداسية,"Sechskantverbindung, f",hexagonal compressed connection,conexión por compresión en matriz hexagonal,kuusikulmainen puristusliitos,"raccordement par rétreint hexagonal, m",connettore a compressione esagonale,六角圧縮接続,육각 압축 연결,зургаан өнцөгт хэлбэрээр шахсан холболт,sekskantskøyt,"łączenie zaprasowane na sześciokąt, n",conexão por compressão hexagonalligação por compressão hexagonal (desaconselhado),соединение обжатием шестигранником,spojitev s šestkotnim stiskanjem,"шестоугаони облик споја притиском, м јд",sexkantpressad förbindning,六角形压接
461-19-04,deep indented connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-19-04,وصلة ذات حزوز عميقة,"Tiefnutpressverbindung, f",deep indented connection,conexión por punzonado profundo,syväpuristusliitos,"raccordement par poinçonnage profond, m",connettore a punzonatura profonda,圧着接続,깊은 톱니형 연결,гүн шахсан холболт,djuppressa skøyt,"łączenie zaprasowane z wgnieceniami, n",conexão por punçonagem profundaligação por punçonagem profunda (desaconselhado),соединение опрессовкой,spojitev z globokim vtisnjenjem,"спој дубоким утискивањем, м јд",djuppressad förbindning,点压接
461-19-05,bolted connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-19-05,وصلة تثبيت بصامولة,"Schraubklemmverbindung, f",bolted connection,conexión por apriete de tornillos,ruuviliitos,"raccordement par serrage mécanique, m",connettore a serraggio meccanico,ボルト締め式接続,볼트 연결,боолтон холболт,skrudd/bolta skøyt,"łączenie śrubowe, n",conexão por aperto mecânicoligação por aperto mecânico (desaconselhado),болтовое соединение,vijačni spoj,"спој завртњем, м јд",skruvförbindning,螺栓连接
461-19-06,insulation piercing connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-19-06,وصلة أختراق العزل,"isolationsdurchdringende Verbindung (für Kabel), f",insulation piercing connection,conexión por perforación de aislamiento,eristyksen Iäpäisevä liitos,"raccordement par perforation d'isolant, m",connettore a perforazione di isoante,絶縁貫通接続,절연 관통 연결,тусгаарлагыг цоолж хийсэн холболт,piggklemmetilkopling,"łączenie z przebiciem izolacji, n",conexão por perfuração do isolanteligação por perfuração do isolante (desaconselhado),соединение прокалыванием изоляции,prebodni spojspojitev s prebadanjem izolacije,"спој пробијањем изолације, м јд",isoleringsgenomträngande förbindning,穿剌绝缘连接
461-20-01,cable drum,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-20-01,بكرة كابل,"Kabeltrommel, f",cable drumcable reel,bobina de cable,kaapelikela,"touret de câble, m",bobina di cavo,ケーブルドラム,케이블 원통,кабелийн дамар,kabeltrommel,"bęben kablowy, m",bobina de cabo,кабельный барабан,kabelski boben,"котур за каблове, м јдкалем за каблове, м јд",kabeltrumma,电缆盘
461-20-02,cable spool,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-20-02,مسلكة كابل,"Kabelspule, f",cable spool,carrete de cable,kaapelirulla,"bobine de câble, f",bobinetta,ケーブルリール,케이블 스풀,кабелийн жижиг дамар,kabelspole,"szpula, f",bobina (pequena) de cabo,кабельная катушка,kabelski motek,"шпулна за каблове, ж јд",bobin,电缆线盘
461-20-03,barrel (of a cable drum or spool),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-20-03,برميل (لبكرة كابل أو مسلكة ),"Kern (einer Kabeltrommel oder -spule), m",barrel (of a cable drum or spool),tambor (de un carrete o de una bobina de cable),rumpukaapelikelan tai kaapelirullan rumpu,fût (d'un touret ou d'une bobine de câble) m,mandrino (di una bobina di cavo),"胴, <ドラムの>","배럴, <케이블 굴렁쇠 또는 스풀>","гол, <кабелийн дамрын>бортого",trommelkjerne,"rdzeń bębna, mrdzeń szpuli, m",tambor (de uma bobina),цилиндрическая часть (барабана),jedro (kabelskega bobna ali motka),"језгро, <кабловског калема или шпулне> с јд",kärna,"筒体, <电缆盘或线盘的>"
461-20-04,lagging,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-20-04,غضرفة البكرة,"Verschalung, f",lagging,protección por duelas,kelan suojaus,"douvage, m",dogatura,ドラム保護カバ,래깅,дамрын хамгаалалт,forskaling,"obicie bębna, notulina, f",protecção exterior,обшивка,opaž,"оплата, ж јд",inbrädning,护板
461-20-05,cable lag,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-20-05,عارضة خشبية لغلاف كابلعارضة خشبية لتغليف كابل,"Verschalbrett, n",cable lagcable batten,duela,suojalauta,"douve, f",doga,横木一本横木,케이블 지연,кабелийн модон бэхэлгээ,,"klepka bębna, f",régua de fecho,доска для обшивки,opažna letevdoga,"летвица оплате, ж јдлајсна оплате, ж јд",inbrädning(svirke),电缆板条
461-20-06,cable coil,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-20-06,لفة كاب,"Kabelring, mLeitungsring, m",cable coil,rollo de cable,kaapelikieppi,"couronne de câble, f",matassa di cavi,たば,케이블 코일,ороож тавьсан кабель,kabelkveil,"krążek kabla, mkrążek przewodu, m",rolo de cabo,бухта кабеля,kabelski zvitek,"котур кабла, м јд",kojl,成圈电缆
461-20-07,end cap,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-20-07,نهاية (كابل)محكمة(الولايات المتحدة الأمريكيةغطاء نهاية,"Kabelabschluss, mVerschlusskappe, f",end capsealed (cable) end (USA),capuchón de estanquidad,päätetuppilo,"capot d'étanchéité, m",cappellotto di ermeticità,防水ケーブルキャップケーブルキャップ,종단 캡,кабелийн төгсгөлийн таг,endeforsegling,"kapturek uszczelniający (2), m",capacete estanque,"торцевая заглушка,  капа",tesnilna kapa,"заштитна капа, ж јд",ändhätta,电缆密封端帽密封端帽
461-21-01,roller,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-21-01,دوارة,"Legerolle, f",roller,rodillo,vetorullavetorullasto,"galet, m",rullo,ガイドローラコロ,롤러,кабель сунгагч,kabelrulle,"rolki, f pl",rolo,ролик,valjček,"котурача, ж јд",kabelrulle,滚轮
461-21-02,motorized roller,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-21-02,دوارة تدار بمحركدوارة بمحرك,"angetriebene Legerolle, f",motorized rollermotor-driven roller,rodillo motorizado,moottorikäyttöinen vetorullasto,"galet motorisé, m",rullo motorizzato,電動ガイドローラ電動コロ,동력화 롤러,хөдөлгүүртэй кабель сунгагч,motordriven rulle,"rolki z napędem, f pl",rolo motorizado,приводной ролик,poganjani valjček,"котурача са моторним погоном, ж јд",driven kabelrulle,电动滚轮
461-21-03,caterpillar drive,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-21-03,آلة جر (تراكتور),"Legeraupe, f",caterpillar drive,máquina de tiro,kaapelinvetolaitekaapelikoira,"chenille de tirage, f",dispositivo lineare di tiro,布設用キャタピラホーリングマシーン,무한궤도 구동,гинжин татлага,beltetrekkjar,"wyciąg gąsienicowy, m",cadeia de tracçãocorreia de tracção,гусеничная тяга,gosenično gonilo,"гусенични погон, м јд",bandframdrag,履带式牵引装置
461-21-04,cable grip,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-21-04,مسكة كابلجورب كابل,"Ziehstrumpf, m",cable gripcable stocking,manga de tiro,vetosukka,"chaussette de tirage, f",calza di tiro,ケーブルグリップ,케이블 잡이,кабелийн татлага,trekkstrømpe,"pończocha kablowa, f",manga de puxomanga de tracção,чулок для протягивания (кабеля),vlečna (kabelska) nogavica,"кабловска потезница, ж јдкабловска чарапа, ж јд",dragstrumpa,电缆牵引网套
461-21-05,pulling eye,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-21-05,عروة سحب,"Ziehkopf, m",pulling eye,cabezal de tiro,vetopää,"oeillet de tirage, mclou de tirage, m",anello di tiro,プーリングアイ,당김 고리풀링 아이,татагч дэгээ,trekkauge,"ucho kablowe, n",olhal de tracção,петля для протягивания (кабеля),vlečno oko,"омча за вучење кабла, ж јд",dragögla,拉环
461-21-06,indicating tape,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-21-06,شريط تحذيرشريط بيان,"Warnband, n",indicating tapewarning tape,cinta de señalización,varoitusnauha,"dispositif avertisseur, m",nastro segnaletico,標識テープワーニングテープ,표시 테이프,анхааруулах тууз,merkjeband,"taśma ostrzegawcza, f",dispositivo de sinalização,предупреждающая лентасигнальная лента,opozorilni trak,"позор трака, ж јд",markeringsband,警告带
