term_id,term,term_url,ar,de,en,fi,fr,it,ja,ko,pl,pt,ru,sr,sv,zh
442-05-37,"reference conditions of influencing quantities, <for a residual current device> pl",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-37,الأحوال المرجعية للكميات المؤثرة (لأداة تعمل بالتيار المتبقي),"Referenzbedingungen von Einflussgrößen (für eine Fehlerstrom-Schutzeinrichtung), f, pl","reference conditions of influencing quantities, <for a residual current device> pl",vikavirtasuojan vaikutussuureiden viite-ehdot,"conditions de référence des grandeurs d'influence, <pour un dispositif de coupure différentiel> f pl",condizioni di riferimento di grandezze d'influenza,"影響を与える量の指示条件, <漏電装置に対して>","잔류 전류 장치용 유도량 기준 조건, <잔류 전류 장치>",warunki odniesienia wielkości wpływających (urządzenia różnicowoprądowego),condições de referência das grandezas de influência (para um dispositivo diferencial de corte),эталонные условия влияющих величин,"референтни услови утицајне величине, <за уређај диференцијалне струје> м мн",,"影响量的基准条件, <剩余电流装置的>"
442-05-38,"preferred range of an influencing quantity, <for a residual current device>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-38,النطاق المفضل للكمية المؤثرة (لأداة تعمل بالتيار المتبقي),"Vorzugsbereich einer Einflussgröße (für eine Fehlerstrom-Schutzeinrichtung), m","preferred range of an influencing quantity, <for a residual current device>",vikavirtasuojan vaikutussuureiden suositusalue,"domaine préférentiel d'une grandeur d'influence, <pour un dispositif de coupure différentiel> m",campo preferito di una grandezza d'influenza,"影響を与える量の推奨範囲, <漏電装置に対して>","잔류 전류 장치용 유도량 권고 범위, <잔류 전류 장치>",zalecany zakres wielkości wpływającej (urządzenia różnicowoprądowego),gama preferencial de uma grandeza de influência (para um dispositivo diferencial de corte),предпочтительный диапазон влияющей величины,"препоручени опсег утицајне величине, <за уређај диференцијалне струје> м јд",rekommenderade värden för påverkande storhet,"影响量的基准范围, <剩余电流装置的>"
442-05-39,"extreme range of an influencing quantity, <for a residual current device>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-39,النطاق الأقصى للكمية المؤثرة (لأداة تعمل بالتيار المتبقي),"Extrembereich einer Einflussgröße (für eine Fehlerstrom-Schutzeinrichtung), m","extreme range of an influencing quantity, <for a residual current device>",vikavirtasuojan vaikutussuureiden raja-alue,"domaine extrême d'une grandeur d'influence, <pour un dispositif de coupure différentiel> m",campo estremo di una grandezza d'influenza,"影響を与える量の極端な範囲, <漏電装置に対して>","잔류 전류 장치용 유도량 극한 범위, <잔류 전류 장치>",zakres graniczny wielkości wpływającej (urządzenia różnicowoprądowego),gama extrema de uma grandeza de influência (para um dispositivo diferencial de corte),экстремальный диапазон влияющей величины,"екстремни опсег утицајне величине, <за уређај диференцијалне струје> м јд",gränsområde för påverkande storhet,"影响量的极限范围, <剩余电流装置的>"
442-05-40,overcurrent protected pole,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-40,قطب محمي (من زيادة التيار) (لقاطع دارة),"gegen Überstrom geschützter Pol (eines Leistungsschalters), m",overcurrent protected poleprotected pole,katkaisijan ylivirtasuojalla varustettu napa,"pôle d'un disjoncteur protégé contre les surintensités, mpôle protégé, m",polo protetto (di un interruttore contro le sovracorrenti),回路遮断器の過電流保護をする極保護をする極,"과전류 보호극, <차단기>",biegun wyłącznika z zabezpieczeniem nadprądowymbiegun wyłącznika z zabezpieczeniem biegun z zabezpieczeniem nadprądowym,pólo (de um disjuntor) protegido contra sobreintensidades,защищенный полюс (от сверхтока),"прекострујно заштићени пол прекидача, м јдзаштићени пол, м јд",skyddad pol,过电流保护极
442-05-41,overcurrent unprotected pole,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-41,قطب غير محمي (من زيادة التيار) (لقاطع دارة),"gegen Überstrom ungeschützter Pol (eines Leistungsschalters), m",overcurrent unprotected poleunprotected pole,suojaamaton katkaisijan napa,"pôle d'un disjoncteur non protégé contre les surintensités, mpôle non protégé, m",polo non protetto (di un interruttore contro le sovracorrenti),回路遮断器の過電流保護をしない極保護をしない極,"비보호극, <차단기>",biegun wyłącznika niezabezpieczony nadprądowobiegun wyłącznika niezabezpieczony biegun niezabezpieczony nadprądowo,pólo (de um disjuntor) não protegido contra sobreintensidades,незащищенный полюс (от сверхтока),"прекострујно незаштићени пол прекидача, м јднезаштићени пол, м јд",oskyddad pol,无过电流保护极
442-05-42,current delay angle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-42,زاوية تأخير تيار (رمز),"Stromverzögerungswinkel, m",current delay angle,ohjauskulmavaihesiirtokulma,"angle de retard de conduction, m",angolo di ritardo della corrente,電流遅れ角,전류 지연각,kąt opóźnienia prądu,ângulo de atraso de corrente,угол задержки тока,"угао кашњења струје, м јд",styrvinkel,电流滞后角
442-05-43,uninterrupted duty,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-43,أداء غير متقطع (لأداة فصل ووصل),"ununterbrochener Betrieb (eines Schaltgeräts), m",uninterrupted duty,kytkinlaitteen keskeytymätön käyttö,"service ininterrompu, <pour un dispositif de coupure> m",funzionamento ininterrotto,閉路維持責務,"무차단 책무, <개폐소자>",praca ciągła,serviço ininterrupto,непрерывный режимдлительный режим,"непрекидни радни режим, <за расклопни апарат> м јд",kontinuerlig drift,不间断工作制
442-05-44,overload release,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-44,إعتاق من زيادة الحمل,"Überlastschutzauslöser, m",overload release,ylikuormitusrele,"déclencheur de surcharge, m",sganciatore di sovraccarico,過負荷引外し装置,과부하 개방,wyzwalacz przeciążeniowy,disparador de sobrecarga,расцепитель перегрузки,"окидач преоптерећења, м јд",överlastutlösare,过载脱扣器
442-05-45,switched neutral pole,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-45,قطب لفصل ووصل خط التعادل,"schaltbarer Neutralleiterpol, m",switched neutral pole,kytkentäkelpoinen nollanapa,"pôle neutre de sectionnement, m",polo di neutro interrotto,開閉専用中性極,개폐 중성극,biegun neutralny łączeniowy,pólo de seccionamento do neutro,коммутирующий нейтральный полюс,"расклопни неутрални пол, м јд",bruten neutralpol,开闭中性极
442-05-46,instantaneous tripping current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-46,تيار الإعتاق اللحظي (لقاطع دارة),"momentaner Auslösestrom (eines Leistungsschalters), m",instantaneous tripping current,katkaisijan pikalaukaisuvirta,"courant de déclenchement instantané, m",corrente di intervento istantaneo,"瞬時引外し電流, <回路遮断器の>","순시 트리핑 전류, <차단기>",prąd zadziałania bezzwłocznego (wyłącznika),corrente de disparo instantâneo (de um disjuntor),ток мгновенного расцепления,"струја тренутног окидања, <прекидача> ж јд",momentan utlösningsström,"瞬时脱扣电流, <断路器的>"
442-05-48,short-circuit making and breaking capacity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-48,استطاعة (سعة ) وصل وقطع دارة القصر,"Kurzschlussschaltvermögen, n",short-circuit making and breaking capacityshort-circuit capacity,oikosulkulujuus,"pouvoir de coupure et de fermeture en court-circuit, m",potere di cortocircuito (chiusura e interruzione),短絡投入及び遮断容量短絡容量,단락 투입 및 차단 용량,zdolność łączeniowa zwarciowa załączania i wyłączaniazdolność łączeniowa zwarciowa,poder de corte (e de fecho) em curtocircuito,включающая и отключающая способность при коротком замыкании,"моћ укључења и прекидања струје кратког споја, ж јдмоћ струје кратког споја, ж јд",slut- och brytförmåga vid kortslutning,短路接通和分断能力
442-05-49,ultimate short-circuit breaking capacity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-49,استطاعة (سعة ) القطع القصوى لتيار القصر,"Grenz-Kurzschlussausschaltvermögen, n",ultimate short-circuit breaking capacity,oikosulkuvirran katkaisukyvyn raja-arvo,"pouvoir de coupure limite en court-circuit, m",potere di cortocircuito estremo,限界短絡遮断容量,극한 단락 차단 용량,zdolność wyłączania zwarciowa graniczna,poder de corte limite em curtocircuito,предельная отключающая способность при коротком замыкании,"гранична моћ прекидања кратког споја, ж јд",gränsbrytförmåga,极限短路分断能力
442-05-50,service short-circuit breaking capacity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-50,استطاعة (سعة)  قطع دارة القصر في الخدمة,"Betriebs-Kurzschlussausschaltvermögen, n",service short-circuit breaking capacity,oikosulkuvirran katkaisukyky käyttökunnossa,"pouvoir de coupure de service en court-circuit, m",potere di cortocircuito di servizio,使用短絡遮断容量,서비스 단락 차단 용량,zdolność wyłączania zwarciowa eksploatacyjna,poder de corte de serviço em curtocircuito,рабочая отключающая способность при коротком замыкании,"корисничка моћ прекидања кратког споја, ж јд",driftbrytförmåga,运行短路分断能力
442-05-51,power-frequency recovery voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-51,جهد استرداد ذو تردد إسمي,"netzfrequente wiederkehrende Spannung, f",power-frequency recovery voltage,verkkotaajuinen palaava jännite,"tension de rétablissement à fréquence industrielle, f",tensione di ritorno alla frequenza di alimentazione,商用周波回復電圧,전력 주파수 회복 전압,napięcie powrotne o częstotliwości sieciowej,tensão de restabelecimento à frequência industrial,восстанавливающееся напряжение промышленной частоты,"повратни напон мрежне фреквенције, м јд",driftfrekvent återvändande spänning,工频恢复电压
442-05-54,"conventional non-tripping current, <of a residual current operated circuit-breaker with integral overcurrent protection>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-54,التيار الاصطلاحي (المعتاد) لعدم الإعتاق,"Nichtauslösestromstärke, fNichtauslösestrom, m","conventional non-tripping current, <of a residual current operated circuit-breaker with integral overcurrent protection>",kestorajavirta,"courant conventionnel de non-déclenchement, <d'un disjoncteur différentiel résiduel avec protection incorporée contre les surintensités> m",corrente convenzionale di non intervento,規定不動作電流,규약 비차단 전류,prąd umowny niezadziałania,corrente convencional de não disparo,условный ток нерасцепления,"договорена струја неокидања, ж јд",gränshållström,约定不脱扣电流
442-05-55,"conventional tripping current, <of a residual current operated circuit-breaker with integral overcurrent protection>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-55,التيار الاصطلاحي (المعتاد) للإعتاق,"Auslösestromstärke, fAuslösestrom, m","conventional tripping current, <of a residual current operated circuit-breaker with integral overcurrent protection>",toimintarajavirta,"courant conventionnel de déclenchement, <d'un disjoncteur différentiel résiduel avec protection incorporée contre les surintensités> m",corrente convenzionale di intervento,規定動作電流,규약 차단 전류,prąd umowny zadziałania,corrente convencional de disparo,условный ток расцепления,"договорена струја окидања, ж јд",gränsutlösningsström,约定脱扣电流
442-05-58,energizing input-quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-58,كمية التنشيط الداخلة,"Eingangs-Erregungsgröße, f",energizing input-quantity,aktivoiva suure,"grandeur d'alimentation d'entrée, f",grandezza di attivazione in ingresso,付勢入力量,가동 입력량,wielkość zasilająca wejściowa,grandeza de alimentação de entrada,входная возбуждающая величина,"побудна улазна величина, ж јд",aktiverande storhet,激励输入量
442-05-59,"I2t characteristic, <of a residual current device>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-59,خاصية (I2t) لأداة الوصل والفصل,"I2t-Kennlinie eines Schaltgeräts, f","I2t characteristic, <of a residual current device>",kytkinlaitteen I2t-ominaiskäyrä,"caractéristique I2t, <d'un dispositif de coupure> f",caratteristica I2t di un dispositivo di interruzione; caratteristica I2t di un apparecchio di manovra,開閉機器のI2t特性,I2t 개폐 장치의 특성,charakterystyka I2t łącznika,característica I2t de um dispositivo de corte,характеристика I2t коммутационного устройства,"I2t карактеристика расклопног уређаја, ж јд",I2t-karakteristik,开关器件的I2t特性
442-05-60,selectivity-limit current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-60,تيار حد التمييز (رمز:Is),"Selektivitäts-Grenzstrom, m",selectivity-limit current,selektiivisyysrajavirta,"courant limite de sélectivité, m",corrente limite di selettività,選択限界電流,선택도 한계 전류,prąd wybiórczości granicznej,corrente limite de selectividade,предельный ток селективности,"граница селективности струје, ж јд",selektivitetsgränsström,选择性极限电流
442-05-61,"take-over current, <of two overcurrent protective devices>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-61,تيار التنفيذ (رمز:IB),"Übernahmestrom, m","take-over current, <of two overcurrent protective devices>",koordinaatiovirta,"courant d'intersection, <pour deux dispositifs de protection à maximum de courant> m",corrente di intersezione,テークオーバ電流,인계 전류,prąd przełomowy,corrente de intersecção,ток пересечения,"струја преузимања, ж јд",koordinationsström,交接电流
442-05-65,arc,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-65,,,arcarcing,,"arc, mproduction d’arc électrique, f",,,,,,,,,电弧燃弧
442-05-66,arc fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-66,,,arc faultarcing fault,,"défaut d’arc, mdéfaut de production d’arc électrique, m",,,,,,,,,电弧故障燃弧故障
442-05-67,arc fault detection device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-67,,,arc fault detection deviceAFDD,,"dispositif pour la détection d’arcs, mDPDA, m",,,,,,,,,电弧故障保护器AFDD
442-05-68,arc fault detection unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-68,,,arc fault detection unitAFD unit,,"module pour la détection d’arcs, mmodule PDA, m",,,,,,,,,电弧故障检测单元
442-05-69,parallel arc fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-69,,,parallel arc fault,,"défaut d’arc en parallèle, m",,,,,,,,,并联电弧故障
442-05-70,series arc fault,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-70,,,series arc fault,,"défaut d’arc en série, m",,,,,,,,,串联电弧故障
442-05-71,limiting value of the non-operating current in case of single-phase overcurrent,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-71,,,limiting value of the non-operating current in case of single-phase overcurrent,,"valeur limite du courant de non-fonctionnement dans le cas d'une surintensité monophasée, f",,,,,,,,,单相过电流情况下非动作的电流极值
442-05-72,residual operating direct current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-72,,,residual operating direct current,,"courant différentiel continu de fonctionnement, m",,,,,,,,,直流剩余动作电流
442-05-73,residual non-operating direct current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-73,,,residual non-operating direct current,,"courant différentiel continu de non-fonctionnement, m",,,,,,,,,直流剩余非动作电流
442-05-74,residual direct making and breaking capacity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-74,,,residual direct making and breaking capacity,,"pouvoir de fermeture et de coupure différentiel continu, m",,,,,,,,,直流剩余接通和分断能力
442-05-75,conditional direct short-circuit current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-75,,,conditional direct short-circuit current,,"courant conditionnel continu de court-circuit, m",,,,,,,,,直流短路电流的条件限定
442-05-76,conditional residual direct short-circuit current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-76,,,conditional residual direct short-circuit current,,"courant différentiel conditionnel continu de court-circuit, m",,,,,,,,,直流剩余短路电流的条件限定
442-06-01,connecting device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-01,أداة توصيــل,"Verbindungsmaterial, n",connecting device,kytkentätarvike,"dispositif de connexion, m",dispositivo di connessione,接続器具,연결 장치,osprzęt połączeniowyzłączka,dispositivo de conexãodispositivo de ligação,соединительное устройство,"прибор за спајање, м јд",sammankopplingsdon,连接器件
442-06-02,tapping,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-02,تفريع,"Abzweigung, fAnzapfung, f",tapping,haaroitus,"dérivation, f",derivazione,分岐,나사 내기,odgałęzienie,derivação,ответвление,"гранање, с јд",avgrening,分接
442-06-03,thread-cutting screw,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-03,قلم تسنين (قلوظة) داخلية بالقطع,"gewindeschneidende Schraube, f",thread-cutting screw,kierrettäleikkaava ruuvi,"vis auto-taraudeuse à découpe, f",vite autofilettante per asportazione di materiale,切削ねじ,나사산 절단 나사,wkręt samogwintujący skrawający,parafuso auto-roscante com corte,резьбонарезающий винт,"вијак који урезује навој, м јд",gängskärande skruv,自切螺钉
442-06-04,thread-forming screw,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-04,قلم تسنين (قلوظة) داخلية بالتشكيل,"gewindeformende Schraube, f",thread-forming screw,kierrettämuokkaava ruuvi,"vis auto-taraudeuse par déformation, f",vite autofilettante per deformazione di materiale,転造ねじ,나삿니 형성 나사,wkręt samogwintujący nieskrawający,parafuso auto-roscante por deformação,резьбоформирующий винт,"вијак који обликује навој, м јд",gängpressande skruv,自攻螺钉
442-06-05,terminal (for accessories),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-05,طرف - نهاية,"Klemme (für Installationsmaterial), fAnschlussklemme (für Installationsmaterial), f",terminal (for accessories),liitin,borne (pour le petit appareillage) f,morsetto,端子,"단말, <부속품>",zacisk,terminalligador (desaconselhado),зажим (для электроустановочных изделий),"прикључак, <за прибор> м јд",anslutningsklämma,"端子, <附件的>"
442-06-06,termination,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-06,نهاية,"Festanschluss, m",termination,liitos,"sortie, f",terminazione,永久固定用端子,종료종단단자,wyprowadzeniezakończenie,terminação,вывод (для электроустановочного изделия),"завршни прикључак, м јд",anslutning,端头
442-06-07,flat quick-connect termination,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-07,نهاية مستوية للتوصيل  السريع,"Flachsteckvorrichtung, f",flat quick-connect termination,litteä pistoliitos,"bornes plates à connexion rapide, f pl","terminazione a spina lamellare per connessione
rapida",平形連結端子,평형 속결 접속 단자,złączka wsuwkowa płaska,terminal plano de conexão rápida,плоский быстросочленяемый зажим,"пљоснати прикључак за брзо спајање, м јд",flatstiftskontakt,扁形快速连接端头
442-06-08,screw terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-08,طرف توصيل بمسمار ملولب (قلاووظ),"Kopfkontaktklemme, f",screw terminal,kantaruuviliitin,"borne à serrage sous tête de vis, f",morsetto a serraggio sotto testa di vite,ねじ端子,나사 단자,zacisk główkowy,terminal de (aperto por) (cabeça de) parafuso,винтовой зажим,"вијчани прикључак, м јд",planklämma,螺钉端子
442-06-09,saddle terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-09,طرف توصيل بكلاب  سرجي,"Laschenklemme, f",saddle terminal,sankaliitin,"borne à plaquette, f",morsetto a piastrina,サドル端子,안장 단자,zacisk nakładkowy,terminal de braçadeira,седловидный зажим,"седласти прикључак, м јд",överfallsklämma,鞍型端子
442-06-10,saddle clamping unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-10,وحدة ربط بكلابة سرجية,"Laschenklemmstelle, f",saddle clamping unit,sankaliittimen puristusosa,"dispositif de serrage à plaquette, m",unità di serraggio a piastrina,サドル締付け具,안장 고정 장치,element zaciskowy nakładkowy,dispositivo de aperto por braçadeira,седловидный зажимной элемент,"седласта стезна јединица, ж јд",överfallsklämdel,鞍型夹紧件
442-06-11,screwless-type terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-11,طرف توصيل غير ملولب (مقلوظ) (يربط بالضغط),"schraubenlose Klemme, fKlemme mit schraubenloser Klemmung, f",screwless-type terminal,ruuviton liitinjousiliitin,"borne sans vis, f",morsetto senza vite,ねじ無し端子,무나사형 단자,zacisk bezgwintowy,terminal não roscado,зажим безвинтового типа,"безвијчани прикључак, м јд",skruvlös klämma,无螺纹型端子
442-06-12,clamping unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-12,وحدة ربط (تثبيت),"Klemmstelle, f",clamping unit,puristusosa,"organe de serrage, m",unità di serraggio,締付け具,클램핑 장치고정 장치,element zaciskowy,órgão de aperto,зажимной элемент,"стезна јединица, ж јд",klämdel,夹紧件
442-06-13,screwless-type clamping unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-13,وحدة ربط (تثبيت) من النوع غير الملولب (المقلوظ),"schraubenlose Klemmstelle, fKlemmstelle mit schraubenloser Klemmung, f",screwless-type clamping unit,ruuvittoman liittimen puristusosa,"organe de serrage sans vis, m",unità di seraggio senza vite,ねじ無し締付け具,무나사형 고정 장치,element zaciskowy bezgwintowy,órgão de aperto não roscado,зажимной элемент безвинтового типа,"безвијчана стезна јединица, ж јд",skruvlös klämdel,无螺纹型夹紧件
442-06-14,mantle terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-14,طرف غلافي (طرف مختفى),"Mantelklemme, f",mantle terminal,vaippaliitin,"borne à capot taraudé, f",morsetto a mantello,マントル端子,덮개 단자,zacisk kołpakowy,terminal de capa,зажим под колпачок,"плаштни прикључак, м јд",mantelklämma,罩式端子
442-06-15,mantle clamping unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-15,وحدة ربط (تثبيت) غلافية (وحدة تثبيت مختفية),"Mantelklemmstelle, f",mantle clamping unit,vaippaliittimen puristusosa,"dispositif de serrage à capot taraudé, m",unità di serraggio a mantello,マントル締付け具,덮개 고정 장치,element zaciskowy kołpakowy,dispositivo de aperto com porca de capa,колпачковый зажимной элемент,"плаштна стезна јединица, ж јд",mantelklämdel,罩式夹紧件
442-06-16,lug terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-16,طرف (نهاية) ذات عروة,"Kabelschuhklemme, f",lug terminal,kaapelikenkäliitin,"bornes pour cosses et barrettes, f pl",morsetto per capicorda,ラグ端子,돌기 단자,zacisk do końcówek kablowych,terminal de olhal,зажим под наконечник,"прикључак за кабловску стопицу, м јд",kabelskoklämma,接片端子
442-06-17,screw-type terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-17,طرف ربط ملولب (مقلوظ),"Schraubklemme, f",screw-type terminal,ruuvityyppinen liitin,"borne à vis, f",morsetto a vite,ねじ式端子,나사형 단자,zacisk gwintowy,terminal roscado,зажим винтового типа,"прикључак са вијчаним притезањем, м јд",skruvklämma,螺纹型端子
442-06-18,screw clamping unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-18,وحدة ربط (تثبيت) بمسمار قلاووظ (ملولب),"Kopfkontaktklemmstelle, f",screw clamping unit,kantaruuviliittimen puristusosa,"dispositif de serrage à serrage sous tête de vis, m",unità di serraggio sotto testa di vite,ねじ締付け具,나사 고정 장치,element zaciskowy główkowy,dispositivo de aperto por (cabeça de) parafuso,винтовой зажимной элемент,"вијчана стезна јединица, ж јд",planklämdel,螺钉夹紧件
442-06-19,screw-type clamping unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-19,وحدة ربط (تثبيت) من النوع الملولب (المقلوظ),"Schraubklemmstelle, f",screw-type clamping unit,ruuvityyppinen puristusosa,"dispositif de serrage à vis, m",unità di serraggio a vite,ねじ式締付け具,나사형 고정 장치,element zaciskowy gwintowy,dispositivo de aperto roscado,зажимной элемент винтового типа,"стезна јединица вијчаног типа, ж јд",skruvklämdel,螺纹型夹紧件
442-06-20,solder terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-20,طرف ( نهاية) باللحام,"Lötanschluss, m",solder terminal,juotosliitin,"borne à souder, f",morsetto per connessione a saldare,はんだ端子,땜납 단자,zacisk lutowniczy,terminal de soldar,паяное присоединение,"прикључак за лемљење, м јд",lödanslutning,焊接端子
442-06-21,pillar clamping unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-21,وحدة ربط ( تثبيت) بدعامة,"Buchsenklemmstelle, f",pillar clamping unit,tuppiloliittimen puristusosa,"dispositif de serrage à trou, m",unità di serraggio a bussola,ピラー締付け具,기둥 고정 장치,element zaciskowy tulejkowy,dispositivo de aperto por pilar,торцевой зажимной элемент,"чаураста стезна јединица, ж јд",hylsklämdel,柱型夹紧件
442-06-22,pillar terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-22,طرف (نهاية) بدعامة,"Buchsenklemme, f",pillar terminal,tuppiloliitin,"borne à trou, f",morsetto a bussola,ピラー端子,기둥 단자,zacisk tulejkowy,terminal de pilar,торцевой зажим,"чаурасти прикључак, м јд",hylsklämma,柱型端子
442-06-23,stud terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-23,طرف( نهاية) بمسمار ملولب (مقلوظ),"Bolzenklemme, f",stud terminal,pulttiliitin,"borne à goujon fileté, f",morsetto a perno filettato,スタッド端子,스터드 단자,zacisk sworzniowy,terminal de perno roscado,зажим под гайку,"прикључак са притезањем навртком, м јд",mutterklämma,螺栓端子
442-06-24,stud clamping unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-24,وحدة ربط ( تثبيت) بمسمار ملولب (مقلوظ),"Bolzenklemmstelle, f",stud clamping unit,pulttiliittimen puristusosa,"dispositif de serrage à goujon fileté, m",unità si serraggio a perno filettato,スタッド締付け具,스터드 고정 장치,element zaciskowy sworzniowy,dispositivo de aperto por perno roscado,зажимной элемент под гайку,"стезна јединица са навртком, ж јд",mutterklämdel,螺栓夹紧件
442-06-25,female connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-25,وصلة انثى,"Steckerbuchse, f",female connector,pistukka,"clip, m",connettore femmina,雌形コネクター,암 접속기,nasuwka,alvéolo de terminal plano,гнездовая часть (быстросочленяемого соединителя с плоскими контактами),"женски конектор, м јд",flathylsa,插套
442-06-26,flat male tab,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-26,طرف (نهاية) توصيل ذكري مستوي,"Flachstecker, m",flat male tab,litteä pistike,"languette, f",linguetta piatta (maschio),平形挿入片,평면 수 태브,wsuwka płaska,lingueta de terminal plano,штыревая частьс плоскими контактами (быстросочленяемого соединителя с плоскими контактами),"пљоснати мушки језичак, м јд",flatstift,扁平插片
442-06-27,junction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-27,وصلة,"Anschluss, m",junction,liitosjatkos,"jonction, f",giunzione,ジャンクション,접속접합부,rozgałęzienie,junção,соединение,"чвор, м јд",skarv,端接
442-06-28,connecting terminal plate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-28,لوحة طرف (نهاية) التوصيل,"Klemmleiste, f",connecting terminal plate,kytkentäalusta,"plaque à bornes de connexion, f",piastrina per morsetto di connessione,接続端子板,연결 단자판,płytka odgałęźna,placa de terminais de conexão,рейка с зажимами,"прикључна табла, ж јд",kopplingsplint,连接端子板
442-06-29,multiway terminal block,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-29,مجموعة أطراف (نهايات) توصيل متعدد الاتجاهات,"Mehrfachverteiler, mteilbare Klemmleiste, f",multiway terminal block,kytkentärimariviliitin,"barrette de jonction, f",morsetto con uscite multiple,多極端子ブロック,복수 단자 블록,listwa wielozaciskowa,barra de junção,многоместный блок зажимов,"вишенаменски прикључни блок, м јд",kopplingslist,多路端子排
442-06-30,junction block,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-30,مجموعة توصيل,"Anschlussleiste, f",junction block,liitosalusta,"bloc de jonction, m",morsetto di giunzione,ジャンクションブロック,접속 블록,skrzynka rozgałęźna,bloco de junção,соединительный блок,"спојни блок, м јд",skarvplint,端接排
442-06-31,tapping block,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-06-31,مجموعة تفريع,"Abzweigleiste, f",tapping block,haaroitusalusta,"bloc de dérivation, m",morsetto di derivazione,分岐接続ブロック,태핑 블록,odgałęźnik,bloco de derivação,ответвительный блок,"изводни блок, м јд",avgreningsplint,分接排
